year,age,female_deaths,male_deaths,total_deaths,female_pop,male_pop,total_pop
1751,0,5988,6902,12890,28595.61,28608.93,57204.54
1751,1,1286.45,1359.88,2646.33,26191.55,25873.44,52064.99
1751,2,834.56,882.13,1716.69,26508.24,26127.31,52635.55
1751,3,622,655.26,1277.26,22053.87,21638.37,43692.24
1751,4,470.99,497.74,968.73,18244.12,17681.68,35925.8
1751,5,339,364.84,703.84,18296.82,17824.89,36121.71
1751,6,233.88,259.28,493.16,18094.76,17920.14,36014.9
1751,7,157.58,181.76,339.34,18040.69,18125.9,36166.59
1751,8,110.1,132.28,242.38,18324.15,18583.2,36907.35
1751,9,91.45,110.83,202.28,18807.98,19139.68,37947.66
1751,10,96.28,112.29,208.57,18296.14,18322.33,36618.47
1751,11,103.19,116.2,219.39,17713.5,17566.63,35280.13
1751,12,106.86,117.46,224.32,17039.1,16805.54,33844.64
1751,13,107.26,116.05,223.31,16449.55,16213.91,32663.46
1751,14,104.41,111.99,216.4,15939.98,15716.37,31656.35
1751,15,99.22,106.15,205.37,16570.65,15879.36,32450.01
1751,16,95.41,102.05,197.46,17010.95,16050.4,33061.35
1751,17,93.9,100.57,194.47,17118.63,15864.86,32983.49
1751,18,94.69,101.72,196.41,17282.31,15289.38,32571.69
1751,19,97.78,105.5,203.28,17430.77,14751.75,32182.52
1751,20,102.69,111.24,213.93,16901.85,14317.51,31219.36
1751,21,107.5,116.38,223.88,16460.07,13905.93,30366
1751,22,111.77,120.26,232.03,16088.59,13757.83,29846.42
1751,23,115.45,122.88,238.33,15822.2,13927.85,29750.05
1751,24,118.59,124.24,242.83,15370.35,13839.19,29209.54
1751,25,121.49,124.71,246.2,15391.02,13943.58,29334.6
1751,26,125.55,125.73,251.28,15450.72,13952.54,29403.26
1751,27,131.1,127.68,258.78,15468.8,13797.98,29266.78
1751,28,138.16,130.54,268.7,15448.83,13718.29,29167.12
1751,29,146.7,134.34,281.04,15287.97,13599.83,28887.8
1751,30,155.69,138.39,294.08,14314.7,12784.88,27099.58
1751,31,160.83,139.99,300.82,13352.42,11933.6,25286.02
1751,32,161.1,138.51,299.61,12350.63,11137.09,23487.72
1751,33,156.45,133.9,290.35,11436.73,10467.99,21904.72
1751,34,146.93,126.21,273.14,10627.16,9866.04,20493.2
1751,35,134.26,116.66,250.92,10810.93,10002.34,20813.27
1751,36,125.44,110.24,235.68,11164.94,10237.46,21402.4
1751,37,122.21,108.21,230.42,11538.23,10443.06,21981.29
1751,38,124.57,110.57,235.14,11989.25,10604.41,22593.66
1751,39,132.53,117.32,249.85,12265.8,10604.31,22870.11
1751,40,144.18,127.22,271.4,11233.71,9676.58,20910.29
1751,41,151.91,135.28,287.19,10322.27,8924.75,19247.02
1751,42,153.82,140.27,294.09,9473.27,8306.42,17779.69
1751,43,149.91,142.19,292.1,8627.03,7737.15,16364.18
1751,44,140.19,141.04,281.23,7795.34,7095.81,14891.15
1751,45,126.68,137.86,264.54,8121.22,7271.04,15392.26
1751,46,117.53,136.73,254.26,8659.56,7615.27,16274.83
1751,47,114.8,138.71,253.51,9314.69,7982.92,17297.61
1751,48,118.46,143.77,262.23,10155.2,8486.4,18641.6
1751,49,128.53,151.92,280.45,10956.27,8857.04,19813.31
1751,50,143.05,161.82,304.87,9911.9,8061.75,17973.65
1751,51,154.23,168.04,322.27,8861.08,7176.68,16037.76
1751,52,160.1,169.23,329.33,7861.81,6281.76,14143.57
1751,53,160.67,165.39,326.06,6968.06,5470.44,12438.5
1751,54,155.94,156.52,312.46,6123.67,4769.04,10892.71
1751,55,148.3,144.91,293.21,6343.53,4832.72,11176.25
1751,56,147.26,139.79,287.05,6672,5002.55,11674.55
1751,57,155.21,143.43,298.64,7147.67,5239.44,12387.11
1751,58,172.15,155.84,327.99,7876.66,5542.7,13419.36
1751,59,198.07,177.02,375.09,8735.82,5825.66,14561.48
1751,60,230.02,204.06,434.08,8544.61,5621.9,14166.51
